id,title,naver_url,original_url,source,published,has_published,image_url,scraped_at,scraped_url
1,한국서 ‘일과 출산’ 양립될까…‘진짜 노동’ 저자의 일침,https://n.news.naver.com/mnews/article/005/0001707497?sid=103,https://www.kmib.co.kr/article/view.asp?arcid=0020261358&code=61171511&cp=nv,국민일보,2024.07.01.,Y,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F005%2F2024%2F07%2F01%2F1707497.jpg&type=f200_200&expire=2&refresh=true,2025-06-10 01:04:40,"https://search.naver.com/search.naver?where=news&query=""출산""&nso=so:r,p:from20240701to20240701,a:all&start=1&service_area=1&office_category=1"
2,[단독] 초저출산 시대 교회가 마련한 파격 ‘공공재’,https://n.news.naver.com/mnews/article/005/0001707532?sid=103,https://www.kmib.co.kr/article/view.asp?arcid=0020261960&code=61221111&cp=nv,국민일보,2024.07.01.,Y,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F005%2F2024%2F07%2F01%2F1707532.jpg&type=f200_200&expire=2&refresh=true,2025-06-10 01:04:40,"https://search.naver.com/search.naver?where=news&query=""출산""&nso=so:r,p:from20240701to20240701,a:all&start=1&service_area=1&office_category=1"
3,"4개월 만에 저출생 대책 뚝딱~ '불도저' 주형환...""구조적 문제 회피 않...",https://n.news.naver.com/mnews/article/469/0000809618?sid=102,https://www.hankookilbo.com/News/Read/A2024062712570001804?did=NA,한국일보,2024.07.01.,Y,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F469%2F2024%2F07%2F01%2F809618.jpg&type=f200_200&expire=2&refresh=true,2025-06-10 01:04:40,"https://search.naver.com/search.naver?where=news&query=""출산""&nso=so:r,p:from20240701to20240701,a:all&start=1&service_area=1&office_category=1"
4,마포구민이 뽑은 정책 1등은 ‘효도밥상’,https://n.news.naver.com/mnews/article/081/0003461515?sid=102,https://www.seoul.co.kr/news/society/2024/07/01/20240701500092?wlog_tag3=naver,서울신문,2024.07.01.,Y,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F081%2F2024%2F07%2F01%2F3461515.jpg&type=f200_200&expire=2&refresh=true,2025-06-10 01:04:40,"https://search.naver.com/search.naver?where=news&query=""출산""&nso=so:r,p:from20240701to20240701,a:all&start=1&service_area=1&office_category=1"
5,"""네가 때리고 낙태시켰잖아"" ""내가 언제?""…허웅 충격 녹취록",https://n.news.naver.com/mnews/article/025/0003370517?sid=102,https://www.joongang.co.kr/article/25260420,중앙일보,2024.07.01.,Y,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F025%2F2024%2F07%2F01%2F3370517.jpg&type=f200_200&expire=2&refresh=true,2025-06-10 01:04:40,"https://search.naver.com/search.naver?where=news&query=""출산""&nso=so:r,p:from20240701to20240701,a:all&start=1&service_area=1&office_category=1"
6,[기자가만난세상] 지자체 커플매칭과 저출생,https://n.news.naver.com/mnews/article/022/0003946789?sid=110,http://www.segye.com/newsView/20240701514492?OutUrl=naver,세계일보,2024.07.01.,Y,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F022%2F2024%2F07%2F01%2F3946789.jpg&type=ofullfill208_208_empty&expire=2&refresh=true,2025-06-10 01:04:40,"https://search.naver.com/search.naver?where=news&query=""출산""&nso=so:r,p:from20240701to20240701,a:all&start=1&service_area=1&office_category=1"
7,[기고]늘어나는 외국인 노동자…한국어 교육도 확대해야,https://n.news.naver.com/mnews/article/032/0003305815?sid=110,https://www.khan.co.kr/article/202407012041005,경향신문,2024.07.01.,Y,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F032%2F2024%2F07%2F01%2F3305815.jpg&type=ofullfill208_208_empty&expire=2&refresh=true,2025-06-10 01:04:40,"https://search.naver.com/search.naver?where=news&query=""출산""&nso=so:r,p:from20240701to20240701,a:all&start=1&service_area=1&office_category=1"
8,아이 낳으면 우대금리 쑥… 연 최대 10%대 적금 흥행,https://n.news.naver.com/mnews/article/005/0001707376?sid=101,https://www.kmib.co.kr/article/view.asp?arcid=1719737759&code=11151100&cp=nv,국민일보,2024.07.01.,Y,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F005%2F2024%2F07%2F01%2F1707376.jpg&type=f200_200&expire=2&refresh=true,2025-06-10 01:04:40,"https://search.naver.com/search.naver?where=news&query=""출산""&nso=so:r,p:from20240701to20240701,a:all&start=1&service_area=1&office_category=1"
9,"마더케이 · 유한킴벌리, 이른둥이 가정에 따뜻한 손길 전달",https://n.news.naver.com/mnews/article/020/0003573713?sid=103,https://www.donga.com/news/Culture/article/all/20240701/125703698/1,동아일보,2024.07.01.,Y,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F020%2F2024%2F07%2F01%2F3573713.jpg&type=f200_200&expire=2&refresh=true,2025-06-10 01:04:40,"https://search.naver.com/search.naver?where=news&query=""출산""&nso=so:r,p:from20240701to20240701,a:all&start=1&service_area=1&office_category=1"
10,“다보스 세계경제포럼 내 성희롱·인종차별 만연” 폭로,https://n.news.naver.com/mnews/article/005/0001707494?sid=104,https://www.kmib.co.kr/article/view.asp?arcid=0020261333&code=61131111&cp=nv,국민일보,2024.07.01.,Y,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F005%2F2024%2F07%2F01%2F1707494.jpg&type=f200_200&expire=2&refresh=true,2025-06-10 01:04:40,"https://search.naver.com/search.naver?where=news&query=""출산""&nso=so:r,p:from20240701to20240701,a:all&start=1&service_area=1&office_category=1"
