id,title,naver_url,original_url,source,published,has_published,image_url,scraped_at,scraped_url
45,"완주군, 아동옴부즈퍼슨사무소 아동친화상점 30곳 모집",https://n.news.naver.com/mnews/article/003/0012813389?sid=102,https://www.newsis.com/view/NISX20241001_0002905489,뉴시스,2024.10.01.,Y,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F003%2F2024%2F10%2F01%2F12813389.jpg&type=f200_200&expire=2&refresh=true,2025-06-10 23:07:11,"https://search.naver.com/search.naver?where=news&query=""노키즈존""&nso=so:r,p:from20240928to20241004,a:all&start=1&service_area=1&office_category=2"
46,[전북의 창] “지평선으로 놀러오세요!”…농경문화 체험 등 행사 ‘풍...,https://n.news.naver.com/mnews/article/056/0011810354?sid=102,https://news.kbs.co.kr/news/pc/view/view.do?ncd=8071272&ref=A,KBS,2024.10.01.,Y,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F056%2F2024%2F10%2F01%2F11810354.jpg&type=f200_200&expire=2&refresh=true,2025-06-10 23:07:11,"https://search.naver.com/search.naver?where=news&query=""노키즈존""&nso=so:r,p:from20240928to20241004,a:all&start=1&service_area=1&office_category=2"
47,“지평선으로 놀러오세요!”…농경문화 체험 등 행사 ‘풍성’,https://n.news.naver.com/mnews/article/056/0011810024?sid=102,https://news.kbs.co.kr/news/pc/view/view.do?ncd=8070877&ref=A,KBS,2024.09.30.,Y,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F056%2F2024%2F09%2F30%2F11810024.jpg&type=f200_200&expire=2&refresh=true,2025-06-10 23:07:11,"https://search.naver.com/search.naver?where=news&query=""노키즈존""&nso=so:r,p:from20240928to20241004,a:all&start=1&service_area=1&office_category=2"
48,"""죽어라!"" 수족관 쾅쾅 친 아이들…부모 ""물고기 죽으면 물어줄 것""",https://n.news.naver.com/mnews/article/003/0012821797?sid=102,https://www.newsis.com/view/NISX20241006_0002909944,뉴시스,2024.10.06.,Y,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F003%2F2024%2F10%2F06%2F12821797.jpg&type=f200_200&expire=2&refresh=true,2025-06-10 23:07:29,"https://search.naver.com/search.naver?where=news&query=""노키즈존""&nso=so:r,p:from20241005to20241011,a:all&start=1&service_area=1&office_category=2"
49,"예약 폭발 '흑백요리사' 식당들, 이젠 '노키즈존' 논란",,https://www.newsis.com/view/NISX20241016_0002922345,뉴시스,2024.10.16.,Y,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F003%2F2024%2F10%2F16%2F12843934.jpg&type=f200_200&expire=2&refresh=true,2025-06-10 23:07:35,"https://search.naver.com/search.naver?where=news&query=""노키즈존""&nso=so:r,p:from20241012to20241018,a:all&start=1&service_area=1&office_category=2"
50,노 키즈존? 경북은 웰컴 키즈존!,https://n.news.naver.com/mnews/article/056/0011818001?sid=102,https://news.kbs.co.kr/news/pc/view/view.do?ncd=8080941&ref=A,KBS,2024.10.14.,Y,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F056%2F2024%2F10%2F14%2F11818001.jpg&type=f200_200&expire=2&refresh=true,2025-06-10 23:07:35,"https://search.naver.com/search.naver?where=news&query=""노키즈존""&nso=so:r,p:from20241012to20241018,a:all&start=1&service_area=1&office_category=2"
51,"[씬속뉴스] 흑백요리사 맛집, 노키즈존?! 누리꾼 설전…'웰컴키즈존' 운...",https://n.news.naver.com/mnews/article/422/0000687675?sid=102,http://www.yonhapnewstv.co.kr/MYH20241017170606422,연합뉴스TV,2024.10.17.,Y,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F422%2F2024%2F10%2F17%2F687675.jpg&type=f200_200&expire=2&refresh=true,2025-06-10 23:07:35,"https://search.naver.com/search.naver?where=news&query=""노키즈존""&nso=so:r,p:from20241012to20241018,a:all&start=1&service_area=1&office_category=2"
52,노 키즈존? 경북은 웰컴 키즈존!,https://n.news.naver.com/mnews/article/056/0011818197?sid=102,https://news.kbs.co.kr/news/pc/view/view.do?ncd=8081165&ref=A,KBS,2024.10.14.,Y,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F056%2F2024%2F10%2F14%2F11818197.jpg&type=f200_200&expire=2&refresh=true,2025-06-10 23:07:35,"https://search.naver.com/search.naver?where=news&query=""노키즈존""&nso=so:r,p:from20241012to20241018,a:all&start=1&service_area=1&office_category=2"
53,노 키즈존? 경북은 웰컴 키즈존!,https://n.news.naver.com/mnews/article/056/0011818446?sid=101,https://news.kbs.co.kr/news/pc/view/view.do?ncd=8081503&ref=A,KBS,2024.10.15.,Y,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F056%2F2024%2F10%2F15%2F11818446.jpg&type=f200_200&expire=2&refresh=true,2025-06-10 23:07:35,"https://search.naver.com/search.naver?where=news&query=""노키즈존""&nso=so:r,p:from20241012to20241018,a:all&start=1&service_area=1&office_category=2"
54,"""아이들 밝은 성장 응원한다""…엄마들 울린 이 가게",https://n.news.naver.com/mnews/article/003/0012857179?sid=102,https://www.newsis.com/view/NISX20241021_0002927589,뉴시스,2024.10.23.,Y,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F003%2F2024%2F10%2F23%2F12857179.jpg&type=f200_200&expire=2&refresh=true,2025-06-10 23:07:40,"https://search.naver.com/search.naver?where=news&query=""노키즈존""&nso=so:r,p:from20241019to20241025,a:all&start=1&service_area=1&office_category=2"
55,"[와글와글] 인기 만점 '흑백요리사' 식당, '노 키즈존' 논란?",https://n.news.naver.com/mnews/article/214/0001381274?sid=102,https://imnews.imbc.com/replay/2024/nwtoday/article/6648158_36523.html,MBC,2024.10.21.,Y,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F214%2F2024%2F10%2F21%2F1381274.jpg&type=f200_200&expire=2&refresh=true,2025-06-10 23:07:40,"https://search.naver.com/search.naver?where=news&query=""노키즈존""&nso=so:r,p:from20241019to20241025,a:all&start=1&service_area=1&office_category=2"
56,2024년 제9차 오산학생토론대회… 93명 열띤 토론,https://n.news.naver.com/mnews/article/003/0012855698?sid=102,https://www.newsis.com/view/NISX20241022_0002929363,뉴시스,2024.10.22.,Y,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F003%2F2024%2F10%2F22%2F12855698.jpg&type=f200_200&expire=2&refresh=true,2025-06-10 23:07:40,"https://search.naver.com/search.naver?where=news&query=""노키즈존""&nso=so:r,p:from20241019to20241025,a:all&start=1&service_area=1&office_category=2"
57,"""어르신은 안 됩니다""... 헬스장도 '노실버존'? [앵커리포트]",https://n.news.naver.com/mnews/article/052/0002106577?sid=102,https://www.ytn.co.kr/_ln/0103_202410292255105417,YTN,2024.10.29.,Y,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F052%2F2024%2F10%2F29%2F2106577.jpg&type=f200_200&expire=2&refresh=true,2025-06-10 23:07:46,"https://search.naver.com/search.naver?where=news&query=""노키즈존""&nso=so:r,p:from20241026to20241101,a:all&start=1&service_area=1&office_category=2"
